"","month","gains_losses","value","case"
"1",1,"none_roof_convection_gain",63781.3340013694,"U001_Caso01_1a7_ac_in1_1.csv"
"2",1,"none_floor_convection_gain",46722.5171148539,"U001_Caso01_1a7_ac_in1_1.csv"
"3",1,"none_intwalls_convection_gain",70322.6038923113,"U001_Caso01_1a7_ac_in1_1.csv"
"4",1,"south_extwalls_convection_gain",20067.9855948001,"U001_Caso01_1a7_ac_in1_1.csv"
"5",1,"north_extwalls_convection_gain",8031.60319193635,"U001_Caso01_1a7_ac_in1_1.csv"
"6",1,"west_extwalls_convection_gain",45104.5586536822,"U001_Caso01_1a7_ac_in1_1.csv"
"7",1,"east_extwalls_convection_gain",12060.5930719582,"U001_Caso01_1a7_ac_in1_1.csv"
"8",1,"south_windows_convection_gain",2306.44746916048,"U001_Caso01_1a7_ac_in1_1.csv"
"9",1,"west_windows_convection_gain",2383.60175723825,"U001_Caso01_1a7_ac_in1_1.csv"
"10",2,"none_roof_convection_gain",64325.4601538314,"U001_Caso01_1a7_ac_in1_1.csv"
"11",2,"none_floor_convection_gain",50163.1148496548,"U001_Caso01_1a7_ac_in1_1.csv"
"12",2,"none_intwalls_convection_gain",74236.9654377877,"U001_Caso01_1a7_ac_in1_1.csv"
"13",2,"south_extwalls_convection_gain",19188.9828630691,"U001_Caso01_1a7_ac_in1_1.csv"
"14",2,"north_extwalls_convection_gain",10219.0782194535,"U001_Caso01_1a7_ac_in1_1.csv"
"15",2,"west_extwalls_convection_gain",46818.741232705,"U001_Caso01_1a7_ac_in1_1.csv"
"16",2,"east_extwalls_convection_gain",12135.1845084243,"U001_Caso01_1a7_ac_in1_1.csv"
"17",2,"south_windows_convection_gain",2491.41424674704,"U001_Caso01_1a7_ac_in1_1.csv"
"18",2,"west_windows_convection_gain",2603.36401361564,"U001_Caso01_1a7_ac_in1_1.csv"
"19",3,"none_roof_convection_gain",58231.2775450039,"U001_Caso01_1a7_ac_in1_1.csv"
"20",3,"none_floor_convection_gain",53133.3945224657,"U001_Caso01_1a7_ac_in1_1.csv"
"21",3,"none_intwalls_convection_gain",72667.3255590505,"U001_Caso01_1a7_ac_in1_1.csv"
"22",3,"south_extwalls_convection_gain",15102.7506283191,"U001_Caso01_1a7_ac_in1_1.csv"
"23",3,"north_extwalls_convection_gain",12487.0105542674,"U001_Caso01_1a7_ac_in1_1.csv"
"24",3,"west_extwalls_convection_gain",44206.2030635441,"U001_Caso01_1a7_ac_in1_1.csv"
"25",3,"east_extwalls_convection_gain",9040.21692702912,"U001_Caso01_1a7_ac_in1_1.csv"
"26",3,"south_windows_convection_gain",1878.01098260624,"U001_Caso01_1a7_ac_in1_1.csv"
"27",3,"west_windows_convection_gain",2164.3846747067,"U001_Caso01_1a7_ac_in1_1.csv"
"28",4,"none_roof_convection_gain",36516.8293898715,"U001_Caso01_1a7_ac_in1_1.csv"
"29",4,"none_floor_convection_gain",37281.6705617404,"U001_Caso01_1a7_ac_in1_1.csv"
"30",4,"none_intwalls_convection_gain",51669.3567571664,"U001_Caso01_1a7_ac_in1_1.csv"
"31",4,"south_extwalls_convection_gain",8503.75641403782,"U001_Caso01_1a7_ac_in1_1.csv"
"32",4,"north_extwalls_convection_gain",12390.6737614832,"U001_Caso01_1a7_ac_in1_1.csv"
"33",4,"west_extwalls_convection_gain",31405.3208076273,"U001_Caso01_1a7_ac_in1_1.csv"
"34",4,"east_extwalls_convection_gain",4412.72885197902,"U001_Caso01_1a7_ac_in1_1.csv"
"35",4,"south_windows_convection_gain",1014.99747945298,"U001_Caso01_1a7_ac_in1_1.csv"
"36",4,"west_windows_convection_gain",1308.31053726773,"U001_Caso01_1a7_ac_in1_1.csv"
"37",5,"none_roof_convection_gain",12847.4249424474,"U001_Caso01_1a7_ac_in1_1.csv"
"38",5,"none_floor_convection_gain",19904.8417476852,"U001_Caso01_1a7_ac_in1_1.csv"
"39",5,"none_intwalls_convection_gain",24557.9988117287,"U001_Caso01_1a7_ac_in1_1.csv"
"40",5,"south_extwalls_convection_gain",2067.31454614337,"U001_Caso01_1a7_ac_in1_1.csv"
"41",5,"north_extwalls_convection_gain",10156.1503711073,"U001_Caso01_1a7_ac_in1_1.csv"
"42",5,"west_extwalls_convection_gain",13498.739359703,"U001_Caso01_1a7_ac_in1_1.csv"
"43",5,"east_extwalls_convection_gain",1271.3485605734,"U001_Caso01_1a7_ac_in1_1.csv"
"44",5,"south_windows_convection_gain",262.776927317657,"U001_Caso01_1a7_ac_in1_1.csv"
"45",5,"west_windows_convection_gain",386.199011124406,"U001_Caso01_1a7_ac_in1_1.csv"
"46",6,"none_roof_convection_gain",3770.33867402848,"U001_Caso01_1a7_ac_in1_1.csv"
"47",6,"none_floor_convection_gain",13745.9628715534,"U001_Caso01_1a7_ac_in1_1.csv"
"48",6,"none_intwalls_convection_gain",13644.4354118983,"U001_Caso01_1a7_ac_in1_1.csv"
"49",6,"south_extwalls_convection_gain",575.220789520948,"U001_Caso01_1a7_ac_in1_1.csv"
"50",6,"north_extwalls_convection_gain",9141.89601202439,"U001_Caso01_1a7_ac_in1_1.csv"
"51",6,"west_extwalls_convection_gain",7682.13227728684,"U001_Caso01_1a7_ac_in1_1.csv"
"52",6,"east_extwalls_convection_gain",536.364981965985,"U001_Caso01_1a7_ac_in1_1.csv"
"53",6,"south_windows_convection_gain",49.895078520912,"U001_Caso01_1a7_ac_in1_1.csv"
"54",6,"west_windows_convection_gain",139.927312276571,"U001_Caso01_1a7_ac_in1_1.csv"
"55",7,"none_roof_convection_gain",3251.86625865267,"U001_Caso01_1a7_ac_in1_1.csv"
"56",7,"none_floor_convection_gain",13191.1602334865,"U001_Caso01_1a7_ac_in1_1.csv"
"57",7,"none_intwalls_convection_gain",14998.789731537,"U001_Caso01_1a7_ac_in1_1.csv"
"58",7,"south_extwalls_convection_gain",402.774069461005,"U001_Caso01_1a7_ac_in1_1.csv"
"59",7,"north_extwalls_convection_gain",9649.92328414649,"U001_Caso01_1a7_ac_in1_1.csv"
"60",7,"west_extwalls_convection_gain",7384.25666006214,"U001_Caso01_1a7_ac_in1_1.csv"
"61",7,"east_extwalls_convection_gain",397.39828917885,"U001_Caso01_1a7_ac_in1_1.csv"
"62",7,"south_windows_convection_gain",40.4020808581391,"U001_Caso01_1a7_ac_in1_1.csv"
"63",7,"west_windows_convection_gain",126.451147808245,"U001_Caso01_1a7_ac_in1_1.csv"
"64",8,"none_roof_convection_gain",11929.4103108762,"U001_Caso01_1a7_ac_in1_1.csv"
"65",8,"none_floor_convection_gain",17979.5326016687,"U001_Caso01_1a7_ac_in1_1.csv"
"66",8,"none_intwalls_convection_gain",23971.0817479996,"U001_Caso01_1a7_ac_in1_1.csv"
"67",8,"south_extwalls_convection_gain",2057.99377597854,"U001_Caso01_1a7_ac_in1_1.csv"
"68",8,"north_extwalls_convection_gain",10388.3345933264,"U001_Caso01_1a7_ac_in1_1.csv"
"69",8,"west_extwalls_convection_gain",16717.3615989611,"U001_Caso01_1a7_ac_in1_1.csv"
"70",8,"east_extwalls_convection_gain",1478.58308243871,"U001_Caso01_1a7_ac_in1_1.csv"
"71",8,"south_windows_convection_gain",333.966489691202,"U001_Caso01_1a7_ac_in1_1.csv"
"72",8,"west_windows_convection_gain",561.662476583534,"U001_Caso01_1a7_ac_in1_1.csv"
