"","gains_losses","value","case","city","app","case_graph","gains","exchange","per"
"1","none_roof_convection_gain",388064.412697067,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof",0.1263
"2","none_floor_convection_gain",626608.506186791,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor",0.204
"3","none_intwalls_convection_gain",802504.401388577,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls",0.2613
"4","south_extwalls_convection_gain",226973.680866838,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls",0.0739
"5","east_extwalls_convection_gain",549983.185077387,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls",0.179
"6","south_windows_convection_gain",32840.7515550971,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_windows",0.0107
"7","none_roof_convection_loss",-4213.78306993436,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","roof",0.0014
"8","none_floor_convection_loss",-34819.5237675679,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","floor",0.0114
"9","none_intwalls_convection_loss",-89749.4426484811,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","intwalls",0.0294
"10","south_extwalls_convection_loss",-20650.2368222083,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls",0.0068
"11","east_extwalls_convection_loss",-221.769231801474,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls",1e-04
"12","south_windows_convection_loss",-27160.4203160594,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_windows",0.0089
"13","internal_gains",382583.376809756,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","internal_gains",0.1246
"14","cooling",-2739838.06660136,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","cooling",0.8968
"15","heating",0,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","heating",0
"16","vn_window_loss",-2275.47901983604,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","vn_window",7e-04
"17","vn_window_gain",2293.9301401721,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","vn_window",7e-04
"18","vn_interzone_loss",-136266.579792672,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","vn_interzone",0.0446
"19","vn_interzone_gain",59871.3126237998,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","vn_interzone",0.0195
"20","none_roof_convection_gain",386165.414607923,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","roof",0.1263
"21","none_floor_convection_gain",629111.467854609,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","floor",0.2058
"22","none_intwalls_convection_gain",806956.543803384,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","intwalls",0.264
"23","south_extwalls_convection_gain",224931.295525972,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls",0.0736
"24","east_extwalls_convection_gain",537329.631021036,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls",0.1758
"25","south_windows_convection_gain",32818.8617111461,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","south_windows",0.0107
"26","none_roof_convection_loss",-7778.08123362313,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","roof",0.0026
"27","none_floor_convection_loss",-40499.149571476,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","floor",0.0133
"28","none_intwalls_convection_loss",-107334.408151871,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","intwalls",0.0352
"29","south_extwalls_convection_loss",-24226.4913015124,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls",0.0079
"30","east_extwalls_convection_loss",-208.482505454921,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls",1e-04
"31","south_windows_convection_loss",-28919.837361036,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","south_windows",0.0095
"32","internal_gains",382575.067534222,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","gain","internal_gains",0.1252
"33","cooling",-2749523.59522983,"U001_Caso01_1a7_ac_nbr_1.csv","belem","DORM1","Air Conditioner","loss","cooling",0.9018
