"","date_graph","time","month","day","gains_losses","value","case","city","app","case_graph","gains","exchange","sum","per"
"1","2019-07-17 00:00:00",1,7,17,"none_roof_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv","saopaulo","DORM1","Air Conditioner","gain","roof",327.400154674132,0
"2","2019-07-17 01:00:00",2,7,17,"none_roof_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv","saopaulo","DORM1","Air Conditioner","gain","roof",351.091403077644,0
"3","2019-07-17 02:00:00",3,7,17,"none_roof_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv","saopaulo","DORM1","Air Conditioner","gain","roof",355.216197518406,0
"4","2019-07-17 03:00:00",4,7,17,"none_roof_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv","saopaulo","DORM1","Air Conditioner","gain","roof",365.378719159411,0
"5","2019-07-17 04:00:00",5,7,17,"none_roof_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv","saopaulo","DORM1","Air Conditioner","gain","roof",374.73443471996,0
"6","2019-07-17 05:00:00",6,7,17,"none_roof_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv","saopaulo","DORM1","Air Conditioner","gain","roof",380.314302958797,0
"7","2019-07-17 06:00:00",7,7,17,"none_roof_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv","saopaulo","DORM1","Air Conditioner","gain","roof",384.684969711474,0
"8","2019-07-17 07:00:00",8,7,17,"none_roof_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv","saopaulo","DORM1","Air Conditioner","gain","roof",388.064296431681,0
"9","2019-07-17 08:00:00",9,7,17,"none_roof_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv","saopaulo","DORM1","Air Conditioner","gain","roof",40.5624743247564,0
"10","2019-07-17 09:00:00",10,7,17,"none_roof_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv","saopaulo","DORM1","Air Conditioner","gain","roof",54.4727517344812,0
"11","2019-07-17 10:00:00",11,7,17,"none_roof_convection_gain",0,"U001_Caso01_1a7_ac_in1_1.csv","saopaulo","DORM1","Air Conditioner","gain","roof",46.9763567404546,0
"12","2019-07-17 11:00:00",12,7,17,"none_roof_convection_gain",0.201731487740449,"U001_Caso01_1a7_ac_in1_1.csv","saopaulo","DORM1","Air Conditioner","gain","roof",39.8155309134149,0.0051
"13","2019-07-17 12:00:00",13,7,17,"none_roof_convection_gain",0.478876690342822,"U001_Caso01_1a7_ac_in1_1.csv","saopaulo","DORM1","Air Conditioner","gain","roof",33.5445126906033,0.0143
"14","2019-07-17 13:00:00",14,7,17,"none_roof_convection_gain",0.856480525362542,"U001_Caso01_1a7_ac_in1_1.csv","saopaulo","DORM1","Air Conditioner","gain","roof",30.7699180771568,0.0278
"15","2019-07-17 14:00:00",15,7,17,"none_roof_convection_gain",0.648657805137639,"U001_Caso01_1a7_ac_in1_1.csv","saopaulo","DORM1","Air Conditioner","gain","roof",29.9727115342228,0.0216
"16","2019-07-17 15:00:00",16,7,17,"none_roof_convection_gain",0.486798921256114,"U001_Caso01_1a7_ac_in1_1.csv","saopaulo","DORM1","Air Conditioner","gain","roof",30.0452077777078,0.0162
"17","2019-07-17 16:00:00",17,7,17,"none_roof_convection_gain",0.289883814833658,"U001_Caso01_1a7_ac_in1_1.csv","saopaulo","DORM1","Air Conditioner","gain","roof",32.6323604636251,0.0089
