"","month","gains_losses","value","case","city","app","case_graph","gains","exchange","MonthAbb","per"
"1",1,"none_roof_convection_gain",31443.0620009572,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof","Jan",0.1241
"2",1,"none_floor_convection_gain",52905.6237213674,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor","Jan",0.2088
"3",1,"none_intwalls_convection_gain",65725.8416089413,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls","Jan",0.2594
"4",1,"south_extwalls_convection_gain",23140.2232409662,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls","Jan",0.0913
"5",1,"east_extwalls_convection_gain",39977.71083042,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls","Jan",0.1578
"6",1,"south_windows_convection_gain",2730.69761590758,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_windows","Jan",0.0108
"7",2,"none_roof_convection_gain",26183.3791032549,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof","Feb",0.1239
"8",2,"none_floor_convection_gain",43898.6269035879,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor","Feb",0.2077
"9",2,"none_intwalls_convection_gain",54180.6341188011,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls","Feb",0.2563
"10",2,"south_extwalls_convection_gain",16582.5900492483,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls","Feb",0.0785
"11",2,"east_extwalls_convection_gain",34719.4135640328,"U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls","Feb",0.1643
