"","gains_losses","value","flux","case"
"1","none_roof_convection_gain",73990.2297796558,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"2","none_floor_convection_gain",69393.050964768,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"3","none_intwalls_convection_gain",80765.7568952829,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"4","south_extwalls_convection_gain",129999.043873019,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"5","north_extwalls_convection_gain",37358.9350055088,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"6","west_extwalls_convection_gain",135058.859280005,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"7","east_extwalls_convection_gain",33323.8273234814,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"8","none_roof_convection_loss",-432914.196150656,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"9","none_floor_convection_loss",-372579.417873432,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"10","none_intwalls_convection_loss",-545197.867778971,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"11","south_extwalls_convection_loss",-114840.624544106,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"12","north_extwalls_convection_loss",-110903.970861309,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"13","west_extwalls_convection_loss",-349837.688710726,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"14","east_extwalls_convection_loss",-76093.463081532,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"15","none_roof_conduction_gain",1147970.34089812,"Conduction","U001_Caso01_1a7_ac_in1_1.csv"
"16","none_floor_conduction_gain",650262.759125883,"Conduction","U001_Caso01_1a7_ac_in1_1.csv"
"17","none_intwalls_conduction_gain",813533.324773351,"Conduction","U001_Caso01_1a7_ac_in1_1.csv"
"18","south_extwalls_conduction_gain",46636.1750180888,"Conduction","U001_Caso01_1a7_ac_in1_1.csv"
"19","north_extwalls_conduction_gain",193851.467951581,"Conduction","U001_Caso01_1a7_ac_in1_1.csv"
"20","west_extwalls_conduction_gain",591018.679450346,"Conduction","U001_Caso01_1a7_ac_in1_1.csv"
"21","east_extwalls_conduction_gain",110264.579915713,"Conduction","U001_Caso01_1a7_ac_in1_1.csv"
"22","none_roof_conduction_loss",-328828.10741361,"Conduction","U001_Caso01_1a7_ac_in1_1.csv"
"23","none_floor_conduction_loss",-1081865.66845596,"Conduction","U001_Caso01_1a7_ac_in1_1.csv"
"24","none_intwalls_conduction_loss",-515469.914932966,"Conduction","U001_Caso01_1a7_ac_in1_1.csv"
"25","south_extwalls_conduction_loss",-647131.067063649,"Conduction","U001_Caso01_1a7_ac_in1_1.csv"
"26","north_extwalls_conduction_loss",-178336.573191951,"Conduction","U001_Caso01_1a7_ac_in1_1.csv"
"27","west_extwalls_conduction_loss",-676389.235754898,"Conduction","U001_Caso01_1a7_ac_in1_1.csv"
"28","east_extwalls_conduction_loss",-156377.783949757,"Conduction","U001_Caso01_1a7_ac_in1_1.csv"
"29","none_roof_solarrad_gain",346678.718461978,"Solar Rad.","U001_Caso01_1a7_ac_in1_1.csv"
"30","none_floor_solarrad_gain",382416.234208216,"Solar Rad.","U001_Caso01_1a7_ac_in1_1.csv"
"31","none_intwalls_solarrad_gain",402811.087592341,"Solar Rad.","U001_Caso01_1a7_ac_in1_1.csv"
"32","south_extwalls_solarrad_gain",102302.893921924,"Solar Rad.","U001_Caso01_1a7_ac_in1_1.csv"
"33","north_extwalls_solarrad_gain",54098.7199253114,"Solar Rad.","U001_Caso01_1a7_ac_in1_1.csv"
"34","west_extwalls_solarrad_gain",156428.801951552,"Solar Rad.","U001_Caso01_1a7_ac_in1_1.csv"
"35","east_extwalls_solarrad_gain",56655.1040456787,"Solar Rad.","U001_Caso01_1a7_ac_in1_1.csv"
"36","none_roof_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_ac_in1_1.csv"
"37","none_floor_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_ac_in1_1.csv"
"38","none_intwalls_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_ac_in1_1.csv"
"39","south_extwalls_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_ac_in1_1.csv"
"40","north_extwalls_solarrad_loss",0,"Solar Rad.","U001_Caso01_1a7_ac_in1_1.csv"
