"","date_graph","time","month","day","gains_losses","value","flux","case"
"1",2019-10-01 00:00:00,1,10,1,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"2",2019-10-01 01:00:00,2,10,1,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"3",2019-10-01 02:00:00,3,10,1,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"4",2019-10-01 03:00:00,4,10,1,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"5",2019-10-01 04:00:00,5,10,1,"none_roof_convection_gain",2.04480620419398,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"6",2019-10-01 05:00:00,6,10,1,"none_roof_convection_gain",7.64353867832994,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"7",2019-10-01 06:00:00,7,10,1,"none_roof_convection_gain",13.172608759255,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"8",2019-10-01 07:00:00,8,10,1,"none_roof_convection_gain",15.6095710627135,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"9",2019-10-01 08:00:00,9,10,1,"none_roof_convection_gain",20.7583647760435,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"10",2019-10-01 09:00:00,10,10,1,"none_roof_convection_gain",20.7536276452139,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"11",2019-10-01 10:00:00,11,10,1,"none_roof_convection_gain",5.39450386255322,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"12",2019-10-01 11:00:00,12,10,1,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"13",2019-10-01 12:00:00,13,10,1,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"14",2019-10-01 13:00:00,14,10,1,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"15",2019-10-01 14:00:00,15,10,1,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"16",2019-10-01 15:00:00,16,10,1,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"17",2019-10-01 16:00:00,17,10,1,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"18",2019-10-01 17:00:00,18,10,1,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"19",2019-10-01 18:00:00,19,10,1,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"20",2019-10-01 19:00:00,20,10,1,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"21",2019-10-01 20:00:00,21,10,1,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"22",2019-10-01 21:00:00,22,10,1,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"23",2019-10-01 22:00:00,23,10,1,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"24",2019-10-01 23:00:00,24,10,1,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"25",2019-10-02 00:00:00,1,10,2,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"26",2019-10-02 01:00:00,2,10,2,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"27",2019-10-02 02:00:00,3,10,2,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"28",2019-10-02 03:00:00,4,10,2,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"29",2019-10-02 04:00:00,5,10,2,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"30",2019-10-02 05:00:00,6,10,2,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"31",2019-10-02 06:00:00,7,10,2,"none_roof_convection_gain",0,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
