"","month","gains_losses","value","flux","case"
"1",1,"none_roof_convection_gain",927.16065824258,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"2",1,"none_floor_convection_gain",3254.00924269606,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"3",1,"none_intwalls_convection_gain",4182.76192009142,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"4",1,"south_extwalls_convection_gain",3704.99674527616,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"5",1,"north_extwalls_convection_gain",2328.23776653905,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"6",1,"west_extwalls_convection_gain",6263.73830547457,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"7",1,"east_extwalls_convection_gain",1326.48217793686,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"8",2,"none_roof_convection_gain",641.638667902408,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"9",2,"none_floor_convection_gain",3370.84536453349,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"10",2,"none_intwalls_convection_gain",4236.5965180278,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"11",2,"south_extwalls_convection_gain",4760.64649287612,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"12",2,"north_extwalls_convection_gain",1957.81231735678,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"13",2,"west_extwalls_convection_gain",6416.84348275556,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"14",2,"east_extwalls_convection_gain",1139.33754165758,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"15",3,"none_roof_convection_gain",1805.88850596203,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"16",3,"none_floor_convection_gain",2550.65499582393,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"17",3,"none_intwalls_convection_gain",4240.06548140972,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"18",3,"south_extwalls_convection_gain",7999.73928970736,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"19",3,"north_extwalls_convection_gain",2322.18999556798,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"20",3,"west_extwalls_convection_gain",9012.2756311366,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"21",3,"east_extwalls_convection_gain",1651.00844053987,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"22",4,"none_roof_convection_gain",4431.23403031657,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"23",4,"none_floor_convection_gain",2187.16483729988,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"24",4,"none_intwalls_convection_gain",4369.77777224149,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"25",4,"south_extwalls_convection_gain",9837.05788995651,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"26",4,"north_extwalls_convection_gain",2584.63529211815,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"27",4,"west_extwalls_convection_gain",10466.7635675394,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"28",4,"east_extwalls_convection_gain",2250.50129036278,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"29",5,"none_roof_convection_gain",10419.248611572,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"30",5,"none_floor_convection_gain",4291.9932443747,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"31",5,"none_intwalls_convection_gain",7174.17307592483,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"32",5,"south_extwalls_convection_gain",15577.4365236738,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
"33",5,"north_extwalls_convection_gain",3448.07729350009,"Convection","U001_Caso01_1a7_ac_in1_1.csv"
