"","gains_losses","value","flux","case","city","app","case_graph","gains","exchange","sum","per"
"1","none_roof_convection_gain",4213.78306993436,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof",1136070.27325989,0.0037
"2","none_floor_convection_gain",34819.5237675679,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor",1389932.37145859,0.0251
"3","none_intwalls_convection_gain",89749.4426484811,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls",1705703.06843469,0.0526
"4","south_extwalls_convection_gain",20650.2368222083,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls",493474.344832293,0.0418
"5","east_extwalls_convection_gain",221.769231801474,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls",1225352.7884016,2e-04
"6","none_roof_convection_loss",-388064.412697067,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","roof",-1136068.44861435,0.3416
"7","none_floor_convection_loss",-626608.506186791,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","floor",-1389931.24395718,0.4508
"8","none_intwalls_convection_loss",-802504.401388577,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","intwalls",-1705700.22197374,0.4705
"9","south_extwalls_convection_loss",-226973.680866838,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls",-493473.702518639,0.46
"10","east_extwalls_convection_loss",-549983.185077387,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","east_extwalls",-1225353.49691617,0.4488
"11","none_roof_conduction_gain",932184.777125434,"conduction","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof",1136070.27325989,0.8205
"12","none_floor_conduction_gain",763369.84395736,"conduction","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor",1389932.37145859,0.5492
"13","none_intwalls_conduction_gain",782072.974938426,"conduction","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls",1705703.06843469,0.4585
"14","south_extwalls_conduction_gain",153130.09052728,"conduction","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls",493474.344832293,0.3103
"15","east_extwalls_conduction_gain",891763.696339529,"conduction","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls",1225352.7884016,0.7278
"16","none_roof_conduction_loss",-102717.141967762,"conduction","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","roof",-1136068.44861435,0.0904
"17","none_floor_conduction_loss",-547770.25533099,"conduction","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","floor",-1389931.24395718,0.3941
"18","none_intwalls_conduction_loss",-822224.11606567,"conduction","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","intwalls",-1705700.22197374,0.482
"19","south_extwalls_conduction_loss",-191176.943921875,"conduction","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","loss","south_extwalls",-493473.702518639,0.3874
