"","month","gains_losses","value","flux","case","city","app","case_graph","gains","exchange","MonthAbb","sum","per"
"1",1,"none_roof_convection_gain",312.35367641059,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof","Jan",91782.0468946447,0.0034
"2",1,"none_floor_convection_gain",2885.35753260197,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor","Jan",127930.742204947,0.0226
"3",1,"none_intwalls_convection_gain",7820.68557662396,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls","Jan",152159.084947787,0.0514
"4",1,"south_extwalls_convection_gain",37.708610154904,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls","Jan",44423.0362378041,8e-04
"5",1,"east_extwalls_convection_gain",26.8021610658175,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls","Jan",85034.3261447105,3e-04
"6",2,"none_roof_convection_gain",307.042709051464,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof","Feb",76889.5422206659,0.004
"7",2,"none_floor_convection_gain",2371.82871160185,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor","Feb",102128.987955284,0.0232
"8",2,"none_intwalls_convection_gain",6314.08807740908,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls","Feb",121610.411960062,0.0519
"9",2,"south_extwalls_convection_gain",176.447852306037,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls","Feb",29966.9228616367,0.0059
"10",2,"east_extwalls_convection_gain",53.6388760019515,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls","Feb",76713.1033402401,7e-04
"11",3,"none_roof_convection_gain",159.560759401358,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof","Mar",73188.1505230622,0.0022
"12",3,"none_floor_convection_gain",2548.88011842407,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor","Mar",88776.2108035984,0.0287
"13",3,"none_intwalls_convection_gain",5506.91720595363,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls","Mar",109184.021242659,0.0504
"14",3,"south_extwalls_convection_gain",792.402536387311,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls","Mar",24633.1798921781,0.0322
"15",3,"east_extwalls_convection_gain",27.9820676229906,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls","Mar",79676.2551717975,4e-04
"16",4,"none_roof_convection_gain",123.553123396197,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof","Apr",73945.4026896639,0.0017
"17",4,"none_floor_convection_gain",2492.95830839273,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor","Apr",87426.2710430547,0.0285
"18",4,"none_intwalls_convection_gain",5390.29393036649,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls","Apr",108581.711210198,0.0496
"19",4,"south_extwalls_convection_gain",1126.41149253141,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls","Apr",26812.0010148838,0.042
"20",4,"east_extwalls_convection_gain",16.9618925802273,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls","Apr",81342.7573725429,2e-04
"21",5,"none_roof_convection_gain",220.126551622562,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof","May",89014.5982034155,0.0025
"22",5,"none_floor_convection_gain",2670.38086192681,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor","May",104052.964103547,0.0257
"23",5,"none_intwalls_convection_gain",6547.54170621769,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls","May",129487.429718852,0.0506
"24",5,"south_extwalls_convection_gain",2757.46571280792,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls","May",39073.1006160916,0.0706
"25",5,"east_extwalls_convection_gain",11.9427487231665,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls","May",102545.452311784,1e-04
"26",6,"none_roof_convection_gain",425.363515899451,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof","Jun",87383.769181546,0.0049
"27",6,"none_floor_convection_gain",2099.76754557444,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor","Jun",104320.229149797,0.0201
"28",6,"none_intwalls_convection_gain",6100.45643447754,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls","Jun",128793.582790961,0.0474
"29",6,"south_extwalls_convection_gain",3707.54770667004,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls","Jun",43723.6212234342,0.0848
"30",6,"east_extwalls_convection_gain",5.72091606428795,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls","Jun",101166.71901237,1e-04
"31",7,"none_roof_convection_gain",474.841360923977,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof","Jul",95853.6434506641,0.005
"32",7,"none_floor_convection_gain",2240.99632070132,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","floor","Jul",110759.572155081,0.0202
"33",7,"none_intwalls_convection_gain",6842.10527690637,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","intwalls","Jul",138608.423439409,0.0494
"34",7,"south_extwalls_convection_gain",3989.7400267545,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","south_extwalls","Jul",46641.5271734687,0.0855
"35",7,"east_extwalls_convection_gain",15.3567404518111,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","east_extwalls","Jul",108593.480219801,1e-04
"36",8,"none_roof_convection_gain",530.185585172366,"convection","U001_Caso01_1a7_ac_in1_1.csv","belem","DORM1","Air Conditioner","gain","roof","Aug",106741.054665474,0.005
